ID;Source;Target;Date;First_Date;Last_Date;Weight
199107170002;May 36;Greece;17.07.1991;17.07.1991;17.07.1991;1
199805170005;May 98;Greece;17.05.1998;17.05.1998;17.05.1998;1
199805170006;May 98;Greece;17.05.1998;17.05.1998;17.05.1998;1
199801170003;May 15;Greece;17.01.1998;17.01.1998;17.01.1998;1
198901230001;1 May;Greece;23.01.1989;23.01.1989;23.01.1989;1
198903100001;1 May;Greece;10.03.1989;10.03.1989;10.03.1989;1
198904100004;1 May;Greece;10.04.1989;10.04.1989;10.04.1989;1
198911010004;1 May;Greece;1.11.1989;1.11.1989;1.11.1989;1
199107160004;1 May;Greece;16.07.1991;16.07.1991;16.07.1991;1
199107160006;1 May;Greece;16.07.1991;16.07.1991;16.07.1991;1
199107160007;1 May;Greece;16.07.1991;16.07.1991;16.07.1991;1
199203170007;1 May;Greece;17.03.1992;17.03.1992;17.03.1992;1
199203170008;1 May;Greece;17.03.1992;17.03.1992;17.03.1992;1
199203170009;1 May;Greece;17.03.1992;17.03.1992;17.03.1992;1
197010270003;1st of May Group;United Kingdom;27.10.1970;27.10.1970;27.10.1970;1
197110000001;1st of May Group;United Kingdom;1.10.1971;1.10.1971;1.10.1971;1
198303150001;2 April Group;United Kingdom;15.03.1983;15.03.1983;15.03.1983;1
198303150002;2 April Group;United Kingdom;15.03.1983;15.03.1983;15.03.1983;1
198303160001;2 April Group;United Kingdom;16.03.1983;16.03.1983;16.03.1983;1
197705290002;28 May Armenian Organization;Turkey;29.05.1977;29.05.1977;29.05.1977;1
197705290003;28 May Armenian Organization;Turkey;29.05.1977;29.05.1977;29.05.1977;1
197111290002;2nd of June Movement;Germany;29.11.1971;29.11.1971;29.11.1971;1
197202020001;2nd of June Movement;Germany;2.02.1972;2.02.1972;2.02.1972;1
197212150002;2nd of June Movement;Germany;15.12.1972;15.12.1972;15.12.1972;1
197307070001;2nd of June Movement;Germany;7.07.1973;7.07.1973;7.07.1973;1
197307070002;2nd of June Movement;Germany;7.07.1973;7.07.1973;7.07.1973;1
197406050001;2nd of June Movement;Germany;5.06.1974;5.06.1974;5.06.1974;1
197408260001;2nd of June Movement;Germany;26.08.1974;26.08.1974;26.08.1974;1
197502270001;2nd of June Movement;Germany;27.02.1975;27.02.1975;27.02.1975;1
