------ Basic information ------
Temporal cardinal of nodes: 1036970
Distinct cardinal of nodes: 916
Temporal cardinal of links: 8958
Distinct cardinal of links: 1072
Duration: 18607

------ Stream metrics ------
Coverage: 0.060841
Number of nodes: 55.730102
Node duration: 1132.063319
Link duration: 0.021376
Uniformity: 0.032667
Compactness: 0.060841
Density: 0.000298
Average node degree: 0.013090
Node clustering coefficient: 0.000000
Transitivity ratio: 0.000000

------ Node and link metrics ------
Node 0 | Contribution: 0.000054 | Density: 0.015385 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 1 | Contribution: 0.000054 | Density: 0.017241 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 2 | Contribution: 0.000054 | Density: 0.017241 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 3 | Contribution: 0.061805 | Density: 0.000078 | Degree: 0.000322 | Clustering coefficient: 0.000000
Node 4 | Contribution: 0.018273 | Density: 0.000146 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 5 | Contribution: 0.000107 | Density: 0.014493 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 6 | Contribution: 0.000054 | Density: 0.012500 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 7 | Contribution: 0.190090 | Density: 0.000053 | Degree: 0.000645 | Clustering coefficient: 0.000000
Node 8 | Contribution: 0.000054 | Density: 0.013333 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 9 | Contribution: 0.000054 | Density: 0.014286 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 10 | Contribution: 0.145322 | Density: 0.000066 | Degree: 0.000699 | Clustering coefficient: 0.000000
Node 11 | Contribution: 0.000967 | Density: 0.001797 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 12 | Contribution: 0.000054 | Density: 0.027027 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 13 | Contribution: 0.187618 | Density: 0.000161 | Degree: 0.002150 | Clustering coefficient: 0.000000
Node 14 | Contribution: 0.000054 | Density: 0.040000 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 15 | Contribution: 0.000054 | Density: 0.012821 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 16 | Contribution: 0.000054 | Density: 0.016393 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 17 | Contribution: 0.000054 | Density: 0.013333 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 18 | Contribution: 0.000054 | Density: 0.015385 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 19 | Contribution: 0.000054 | Density: 0.012821 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 20 | Contribution: 0.000054 | Density: 0.013699 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 21 | Contribution: 0.000054 | Density: 0.020000 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 22 | Contribution: 0.000054 | Density: 0.014706 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 23 | Contribution: 0.012683 | Density: 0.000114 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 24 | Contribution: 0.000054 | Density: 0.024390 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 25 | Contribution: 0.000054 | Density: 0.020000 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 26 | Contribution: 0.000054 | Density: 0.013158 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 27 | Contribution: 0.000054 | Density: 0.012500 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 28 | Contribution: 0.000054 | Density: 0.045455 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 29 | Contribution: 0.134036 | Density: 0.000058 | Degree: 0.000376 | Clustering coefficient: 0.000000
Node 30 | Contribution: 0.000054 | Density: 0.021277 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 31 | Contribution: 0.195303 | Density: 0.000026 | Degree: 0.000215 | Clustering coefficient: 0.000000
