ID;Label;First_Date;Last_Date;Cat
May 36;May 36;17.07.1991;17.07.1991;Organization
May 98;May 98;17.05.1998;17.05.1998;Organization
May 15;May 15;17.01.1998;17.01.1998;Organization
1 May;1 May;23.01.1989;17.03.1992;Organization
1st of May Group;1st of May Group;27.10.1970;1.10.1971;Organization
2 April Group;2 April Group;15.03.1983;16.03.1983;Organization
28 May Armenian Organization;28 May Armenian Organization;29.05.1977;29.05.1977;Organization
2nd of June Movement;2nd of June Movement;29.11.1971;4.08.1981;Organization
4 August National Organization;4 August National Organization;15.03.1982;15.03.1982;Organization
7 April Libyan Organization;7 April Libyan Organization;7.10.1985;7.10.1985;Organization
Abu Nidal Organization (ANO);Abu Nidal Organization (ANO);3.08.1978;27.12.1985;Organization
Actiefront Nationalistisch Nederland;Actiefront Nationalistisch Nederland;4.01.1992;21.01.1992;Organization
Action Cell Haukur Hilmarsson;Action Cell Haukur Hilmarsson;12.03.2018;12.03.2018;Organization
Action Directe;Action Directe;18.03.1980;7.10.1989;Organization
Action Directe Anarchiste (ADA);Action Directe Anarchiste (ADA);2.05.2020;2.05.2020;Organization
Action Front for the Liberation of the Baltic Countries;Action Front for the Liberation of the Baltic Countries;12.04.1977;12.04.1977;Organization
Action Front Nationalist Librium;Action Front Nationalist Librium;5.03.1992;5.03.1992;Organization
Action Group for Communism;Action Group for Communism;9.06.1978;9.06.1978;Organization
Action Group for the Destruction of the Police State;Action Group for the Destruction of the Police State;12.10.1991;12.10.1991;Organization
Action Squad;Action Squad;26.01.1980;26.01.1980;Organization
Action Struggle Against the World;Action Struggle Against the World;8.04.1985;8.04.1985;Organization
Afghan Revolutionary Front;Afghan Revolutionary Front;16.12.2008;16.12.2008;Organization
African National Congress (South Africa);African National Congress (South Africa);30.03.1988;30.03.1988;Organization
Al-Borkan Liberation Organization;Al-Borkan Liberation Organization;21.01.1984;12.09.1984;Organization
Alde Hemendik Movement;Alde Hemendik Movement;15.10.2016;15.10.2016;Organization
Alexandros Grigoropoulos Anarchist Attack Group;Alexandros Grigoropoulos Anarchist Attack Group;3.06.2009;3.06.2009;Organization
Al-Fatah;Al-Fatah;27.07.1980;27.07.1980;Organization
Alliance of Revolutionary Cuban Organizations;Alliance of Revolutionary Cuban Organizations;22.12.1980;22.12.1980;Organization
Al-Mahdi in Southern Tunisia;Al-Mahdi in Southern Tunisia;29.10.2020;29.10.2020;Organization
Al-Qaida;Al-Qaida;11.09.2001;9.07.2008;Organization
Al-Qaida in Iraq;Al-Qaida in Iraq;30.06.2007;30.06.2007;Organization
Al-Qaida in the Arabian Peninsula (AQAP);Al-Qaida in the Arabian Peninsula (AQAP);25.12.2009;6.12.2019;Organization
American Indian Movement;American Indian Movement;27.02.1973;13.10.1975;Organization
American Servicemen's Union (ASU);American Servicemen's Union (ASU);26.07.1970;26.07.1970;Organization
